epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,23995.5,1.17111,1.06268,0.01212,0.80092,0.65781,0.73411,0.5603,1.25556,1.19829,0.01219,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,24486.3,1.17878,1.06779,0.01204,0.79632,0.6608,0.73528,0.5621,1.25185,1.1974,0.01213,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,24980.3,1.1828,1.07012,0.01205,0.81422,0.64896,0.73457,0.56206,1.25036,1.19056,0.01209,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,25440,1.17799,1.05538,0.01187,0.81616,0.64949,0.73558,0.56304,1.24727,1.18389,0.01206,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,25852.9,1.1684,1.06217,0.01189,0.79859,0.65837,0.73495,0.56427,1.24418,1.18329,0.01198,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,26268.3,1.16069,1.03283,0.01175,0.79701,0.65781,0.73498,0.56518,1.24339,1.18452,0.01197,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,26804.4,1.15405,1.0204,0.01176,0.79453,0.66057,0.73545,0.56518,1.24234,1.18121,0.01198,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,27549.6,1.14448,1.00157,0.01165,0.80368,0.65844,0.73658,0.56661,1.24286,1.17976,0.01199,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,2115.56,1.13769,0.97884,0.01148,0.80342,0.65705,0.73701,0.56681,1.24915,1.18117,0.01204,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,3402.97,1.14072,0.98963,0.01142,0.8161,0.65142,0.73711,0.56728,1.25004,1.18066,0.01203,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,442.278,1.11964,0.94395,0.01122,0.80984,0.65353,0.73739,0.5672,1.24816,1.1821,0.01203,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,874.667,1.13325,0.9711,0.0113,0.77777,0.67373,0.73689,0.56677,1.24799,1.1823,0.01201,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,1303.58,1.13553,0.97908,0.01134,0.77938,0.67272,0.73753,0.56761,1.24869,1.18285,0.01201,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,427.015,1.09918,0.89274,0.01092,0.7976,0.66357,0.73747,0.56747,1.24857,1.18268,0.01202,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,852.841,1.11844,0.93715,0.01109,0.80162,0.66059,0.73833,0.56842,1.24884,1.18463,0.01202,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,1278.6,1.12398,0.95183,0.01115,0.805,0.65904,0.73868,0.56873,1.24763,1.18487,0.012,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,1705.75,1.13025,0.95967,0.01129,0.80673,0.65947,0.73846,0.56864,1.2481,1.18508,0.012,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,2132.31,1.11752,0.94709,0.01109,0.80359,0.66095,0.73837,0.56876,1.24584,1.18603,0.01199,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
