epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2093.02,1.28047,1.30504,0.01339,0.73746,0.6124,0.68761,0.51612,1.31039,1.31317,0.01308,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,2396.11,1.26594,1.30124,0.01328,0.76494,0.60246,0.6885,0.51804,1.30714,1.3154,0.01304,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,2710.38,1.25613,1.29309,0.01325,0.75801,0.61293,0.69156,0.52008,1.307,1.30657,0.01307,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,3036.96,1.26026,1.26753,0.0132,0.76262,0.60858,0.69308,0.52108,1.30588,1.30219,0.01302,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,3359.16,1.25365,1.26942,0.01323,0.75275,0.6165,0.69484,0.52279,1.30339,1.30059,0.01297,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,3675.86,1.25597,1.25414,0.01313,0.76284,0.61172,0.69635,0.5239,1.30212,1.29714,0.01293,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,3974.82,1.2572,1.25619,0.013,0.76434,0.61105,0.69635,0.52416,1.30102,1.29504,0.01291,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,4270.71,1.25028,1.25239,0.01289,0.77226,0.6092,0.69608,0.52468,1.29998,1.29116,0.01288,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,4569,1.23497,1.21798,0.01288,0.77488,0.60992,0.69728,0.52603,1.29729,1.29017,0.01282,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,306.887,1.22092,1.16046,0.01262,0.75345,0.62169,0.69745,0.52594,1.29809,1.28702,0.01285,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,609.995,1.22409,1.17239,0.01256,0.75302,0.62346,0.69832,0.52609,1.29672,1.28877,0.01283,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,913.291,1.22783,1.1787,0.01262,0.75927,0.61841,0.69741,0.52539,1.29622,1.29001,0.01282,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1237.15,1.22933,1.17456,0.01268,0.77116,0.61335,0.69772,0.52538,1.29506,1.29036,0.01279,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,1560.36,1.22086,1.15247,0.0125,0.76615,0.61968,0.69932,0.527,1.29505,1.28939,0.01279,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,1871.45,1.22162,1.14426,0.01243,0.76202,0.62084,0.69828,0.52618,1.29471,1.29077,0.01277,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,2208.04,1.21893,1.15249,0.01242,0.76936,0.61853,0.69838,0.52659,1.29403,1.29122,0.01275,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,2506.88,1.20917,1.14261,0.01235,0.77123,0.61726,0.6976,0.52613,1.29408,1.29217,0.01275,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
